labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
D. Lorsque le conducteur n'est pas soumis &agrave; un champ &eacute;lectrique, on observe un courant &eacute;lectrique.|7. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130307|FAUX|D. Faux, on observe l'absence de courant &eacute;lectrique.||||||
E. Il existe des semi-conducteurs, c'est-&agrave;-dire que leur conductivit&eacute; d&eacute;pend des conditions physiques externes.|7. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130307|VRAI|||||||
A. Une solution &eacute;lectrolytique est ionique, c'est pourquoi elle permet le passage du courant.|8. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130308|VRAI|||||||
B. Selon la th&eacute;orie des bandes, l'&eacute;nergie d'un &eacute;lectron libre peut prendre plusieurs valeurs dans un intervalle pr&eacute;cis.|8. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130308|FAUX|B. Faux, c'est le cas d'un solide.||||||
C. Selon la th&eacute;orie des bandes, l'&eacute;nergie d'un &eacute;lectron dans un solide en peut prendre que des valeurs positives.|8. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130308|FAUX|C. Faux, c'est le cas d'un &eacute;lectron.||||||
D. Selon la th&eacute;orie des bandes, l'&eacute;nergie d'un &eacute;lectron dans un atome isol&eacute; ne peut prendre que des valeurs discr&egrave;tes d&eacute;finies.|8. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130308|VRAI|||||||
E. Cette th&eacute;orie dit que les &eacute;lectrons dans un solide n'ont la possibilit&eacute; de prendre que des valeurs d'&eacute;nergie comprises dans certains intervalles.|8. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130308|VRAI|||||||
A. La membrane cellulaire est s&eacute;lective.|9. Concernant la perm&eacute;abilit&eacute; membranaire, quelle(s) est la (les) propositions vraie(s)?|UE3T130309|VRAI|||||||
B. Il existe qu'un type de transport pour passer la membrane: le transport actif.|9. Concernant la perm&eacute;abilit&eacute; membranaire, quelle(s) est la (les) propositions vraie(s)?|UE3T130309|FAUX|B. Faux, il y a aussi le transport passif.||||||
C. Le transporteur actif de transport n&eacute;cessite de l'&eacute;nergie sous forme d'ATP.|9. Concernant la perm&eacute;abilit&eacute; membranaire, quelle(s) est la (les) propositions vraie(s)?|UE3T130309|VRAI|||||||
D. Le transport actif est un m&eacute;canisme membranaire, c'est-&agrave;-dire que la membrane s'organise pour laisser passer ou bloquer certaines mol&eacute;cules.|9. Concernant la perm&eacute;abilit&eacute; membranaire, quelle(s) est la (les) propositions vraie(s)?|UE3T130309|VRAI|||||||
E. Les mol&eacute;cules vont du milieu le moins concentr&eacute; au milieu le plus concentr&eacute;.|9. Concernant la perm&eacute;abilit&eacute; membranaire, quelle(s) est la (les) propositions vraie(s)?|UE3T130309|FAUX|E. Faux, elles vont du plus concentr&eacute; au moins concentr&eacute;.||||||
A. L'osmose correspond au passage d'un solut&eacute; &agrave; travers une membrane h&eacute;miperm&eacute;able.|10. Concernant le ph&eacute;nom&egrave;ne d'osmose, quelle(s) est la (les) propositions vraie(s) ?|UE3T130310|FAUX|A. Faux, c'est le passage d'un solvant !||||||
B. La membrane h&eacute;miperm&eacute;able ne laisse pas passer le solvant.|10. Concernant le ph&eacute;nom&egrave;ne d'osmose, quelle(s) est la (les) propositions vraie(s) ?|UE3T130310|FAUX|B. Faux, elle ne laisse pas passer le solut&eacute; mais laisse passer le solvant.||||||
C. Le solut&eacute; va vers le compartiment le plus concentr&eacute; en solvant.|10. Concernant le ph&eacute;nom&egrave;ne d'osmose, quelle(s) est la (les) propositions vraie(s) ?|UE3T130310|FAUX|C. Faux, le solvant va vers le compartiment le plus concentr&eacute; en solut&eacute; afin de diminuer la concentration de solut&eacute; dans ce compartiment.||||||
D. L'osmolarit&eacute; est la quantit&eacute; de particules dissoutes par unit&eacute; de volume de solution.|10. Concernant le ph&eacute;nom&egrave;ne d'osmose, quelle(s) est la (les) propositions vraie(s) ?|UE3T130310|VRAI|||||||
E. L'osmose sert &agrave; &eacute;galiser les concentrations dans les deux compartiments afin d'atteindre l'&eacute;quilibre.|10. Concernant le ph&eacute;nom&egrave;ne d'osmose, quelle(s) est la (les) propositions vraie(s) ?|UE3T130310|VRAI|||||||
A. La lumi&egrave;re est une onde &eacute;lectromagn&eacute;tique|13. Concernant la lumi&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130313|VRAI|||||||
B. La lumi&egrave;re se d&eacute;place &agrave; 3.10^8 km.s-1 dans le vide|13. Concernant la lumi&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130313|FAUX|B. Attention &agrave; l'unit&eacute;, ce n'est pas 3.10^8 km.s mais 3.10^8 m.s||||||
C. Selon le milieu, la lumi&egrave;re se d&eacute;place &agrave; une vitesse diff&eacute;rente|13. Concernant la lumi&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130313|VRAI|||||||
D. Les infrarouges sont plus &eacute;nerg&eacute;tiques que les ultraviolets|13. Concernant la lumi&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130313|FAUX|D. La longueur d'onde d'un infrarouge est sup&eacute;rieure &agrave; celle d'un ultraviolet : ces derniers ont donc une fr&eacute;quence plus &eacute;lev&eacute;e et sont alors plus &eacute;nerg&eacute;tiques||||||
E. La longueur d'onde des ultraviolets est inf&eacute;rieure &agrave; 400nm|13. Concernant la lumi&egrave;re, indiquez la ou les proposition(s) exacte(s) :|UE3T130313|VRAI|||||||
A. Le soleil|14. Parmi les propositions suivantes, indiquez laquelle ou lesquelles correspondant &agrave; une source secondaire de lumi&egrave;re.|UE3T130314|FAUX|ABCDE. Pour diff&eacute;rencier une source primaire de secondaire, demandez-vous si la lumi&egrave;re est produite par la source ou si elle n'est que r&eacute;fl&eacute;chie. Ici il n'y avait que la lune, qui r&eacute;fl&eacute;chit la lumi&egrave;re du soleil.||||||
B. La lune|14. Parmi les propositions suivantes, indiquez laquelle ou lesquelles correspondant &agrave; une source secondaire de lumi&egrave;re.|UE3T130314|VRAI|ABCDE. Pour diff&eacute;rencier une source primaire de secondaire, demandez-vous si la lumi&egrave;re est produite par la source ou si elle n'est que r&eacute;fl&eacute;chie. Ici il n'y avait que la lune, qui r&eacute;fl&eacute;chit la lumi&egrave;re du soleil.||||||
C. Une lampe|14. Parmi les propositions suivantes, indiquez laquelle ou lesquelles correspondant &agrave; une source secondaire de lumi&egrave;re.|UE3T130314|FAUX|ABCDE. Pour diff&eacute;rencier une source primaire de secondaire, demandez-vous si la lumi&egrave;re est produite par la source ou si elle n'est que r&eacute;fl&eacute;chie. Ici il n'y avait que la lune, qui r&eacute;fl&eacute;chit la lumi&egrave;re du soleil.||||||
D. Un ver luisant|14. Parmi les propositions suivantes, indiquez laquelle ou lesquelles correspondant &agrave; une source secondaire de lumi&egrave;re.|UE3T130314|FAUX|ABCDE. Pour diff&eacute;rencier une source primaire de secondaire, demandez-vous si la lumi&egrave;re est produite par la source ou si elle n'est que r&eacute;fl&eacute;chie. Ici il n'y avait que la lune, qui r&eacute;fl&eacute;chit la lumi&egrave;re du soleil.||||||
E. Une r&eacute;action de fluorescence|14. Parmi les propositions suivantes, indiquez laquelle ou lesquelles correspondant &agrave; une source secondaire de lumi&egrave;re.|UE3T130314|FAUX|ABCDE. Pour diff&eacute;rencier une source primaire de secondaire, demandez-vous si la lumi&egrave;re est produite par la source ou si elle n'est que r&eacute;fl&eacute;chie. Ici il n'y avait que la lune, qui r&eacute;fl&eacute;chit la lumi&egrave;re du soleil.||||||
A. La corn&eacute;e est responsable de 2/3 de la puissance de l'œil|15. Concernant l'oeil, indiquez la ou les proposition(s) exacte(s) :|UE3T130315|VRAI|A. La corn&eacute;e : 2/3 de la puissance de l'œil ; le cristallin : 1/3||||||
B. Lorsque l'oeil accommode, il modifie la forme et le rayon de courbure de la corn&eacute;e|15. Concernant l'oeil, indiquez la ou les proposition(s) exacte(s) :|UE3T130315|FAUX|B. Attention, la corn&eacute;e ne peut pas accommoder, c'est le r&ocirc;le du cristallin||||||
C. Le cristallin est comparable &agrave; une lentille biconvexe|15. Concernant l'oeil, indiquez la ou les proposition(s) exacte(s) :|UE3T130315|VRAI|||||||
D. La r&eacute;tine est une couche neurosensorielle|15. Concernant l'oeil, indiquez la ou les proposition(s) exacte(s) :|UE3T130315|VRAI|D. Vrai, c'est la couche o&ugrave; un ph&eacute;nom&egrave;ne physique (un photon) est traduit en aff&eacute;rence nerveuse||||||
E. La fov&eacute;a est la zone de la r&eacute;tine o&ugrave; l'acuit&eacute; visuelle est la plus forte|15. Concernant l'oeil, indiquez la ou les proposition(s) exacte(s) :|UE3T130315|VRAI|E. La fov&eacute;a, elle m&ecirc;me situ&eacute;e au centre de la macula est bien la zone o&ugrave; l'acuit&eacute; visuelle est la plus forte.||||||
A. Les personnes souffrant d'am&eacute;tropie sph&eacute;rique ont un stigmatisme conserv&eacute;|16. Concernant les am&eacute;tropies sph&eacute;riques, indiquez la ou les proposition(s) exacte(s) :|UE3T130316|VRAI|A. Dans une am&eacute;tropie sph&eacute;rique, c'est le remontum (plan que l'on voit nettement quand l'oeil n'accomode pas) qui n'est plus &agrave; l'infini. Le stigmatisme lui est conserv&eacute;.||||||
B. Un oeil myope est trop peu convergent|16. Concernant les am&eacute;tropies sph&eacute;riques, indiquez la ou les proposition(s) exacte(s) :|UE3T130316|FAUX|B. Un oeil myope est trop convergent||||||
C. On corrige un oeil myope avec un verre divergent|16. Concernant les am&eacute;tropies sph&eacute;riques, indiquez la ou les proposition(s) exacte(s) :|UE3T130316|VRAI|C. Comme un oeil myope est trop convergent, on corrige cette myopie avec un verre divergent||||||
D. Un œil hyperm&eacute;trope est un œil trop convergent|16. Concernant les am&eacute;tropies sph&eacute;riques, indiquez la ou les proposition(s) exacte(s) :|UE3T130316|FAUX|D. Un oeil hyperm&eacute;trope est trop peu convergent||||||
E. Chez le myope, la presbytie se manifeste d'autant plus tard que la myopie est importante|16. Concernant les am&eacute;tropies sph&eacute;riques, indiquez la ou les proposition(s) exacte(s) :|UE3T130316|VRAI|E. La presbytie se caract&eacute;rise par une baisse de l'amplitude d'accomodation du cristallin : il peut de moins en moins converger. Comme la myopie est d&eacute;finie par un oeil trop convergent, la presbytie va faire que l'oeil aura une convergence normale. (Vous comprendrez mieux ce ph&eacute;nom&egrave;ne quand vous aurez eu les cours d'optique g&eacute;om&eacute;trique de Mr &Ouml;zkul)||||||
A. La r&eacute;tine est la tunique la plus externe de l'œil.|17. Concernant la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130317|FAUX|A. Faux, c'est la tunique la plus interne.||||||
B. Elle est en rapport avec le vitr&eacute; qui est un des milieux transparents de l'oeil.|17. Concernant la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130317|VRAI|||||||
C. Les r&eacute;cepteurs de la r&eacute;tine sont les c&ocirc;nes et les bâtonnets.|17. Concernant la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130317|VRAI|||||||
D. Les bâtonnets sont situ&eacute;s &agrave; la fov&eacute;a et permettent de voir les d&eacute;tails.|17. Concernant la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130317|FAUX|D. Faux, ce sont les c&ocirc;nes.||||||
E. Il existe peu de convergence au niveau de la fov&eacute;a.|17. Concernant la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130317|VRAI|||||||
A. Pour retourner &agrave; l'&eacute;tat fondamental apr&egrave;s une r&eacute;action photochimique, il faut une &eacute;limination rapide des produits de d&eacute;composition.|18. Concernant la photochimie de la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130318|VRAI|||||||
B. Il faut &eacute;galement une reconstitution rapide des pigments afin d'&eacute;liminer la persistance de l'image.|18. Concernant la photochimie de la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130318|VRAI|||||||
C. La rhodopsine est le pigment des c&ocirc;nes et permet la continuit&eacute; de l'image lorsqu'elle se reconstitue.|18. Concernant la photochimie de la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130318|FAUX|C. Faux, c'est le pigment des bâtonnets.||||||
D. Elle poss&egrave;de une sensibilit&eacute; scotopique seulement.|18. Concernant la photochimie de la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130318|FAUX|D. Faux, la rhodopsine a une sensiblit&eacute; scotopique (nuit) et photopique (jour).||||||
E. Une baisse de la vitamine A provoque des troubles visuels par baisse de sensiblit&eacute; des bâtonnets.|18. Concernant la photochimie de la r&eacute;tine, indiquez la ou les proposition(s) exacte(s) :|UE3T130318|VRAI|E. Vrai, il y a de la vitamine A dans la rhodopsine, par cons&eacute;quent une baisse de vitamine A induit une baisse de sensibilit&eacute; des bâtonnets.||||||
A. Une sensation lumineuse peut &ecirc;tre caract&eacute;ris&eacute;e par sa tonalit&eacute;.|19. Concernant la trivariance visuelle, indiquez la ou les proposition(s) exacte(s) :|UE3T130319|VRAI|||||||
B. L'oeil peut faire la diff&eacute;rence entre un m&eacute;lange de couleurs et une couleur monochromatique.|19. Concernant la trivariance visuelle, indiquez la ou les proposition(s) exacte(s) :|UE3T130319|FAUX|B. Faux, l'oeil n'est pas assez discriminant pour savoir s'il a affaire &agrave; une couleur pure ou &agrave; un m&eacute;lange.||||||
C. La tonalit&eacute; d&eacute;pend de la longueur d'onde.|19. Concernant la trivariance visuelle, indiquez la ou les proposition(s) exacte(s) :|UE3T130319|VRAI|||||||
D. La saturation correspond au degr&eacute; de blanc dans la couleur (le fait qu'une couleur soit plus ou moins pastel).|19. Concernant la trivariance visuelle, indiquez la ou les proposition(s) exacte(s) :|UE3T130319|VRAI|||||||
E. L'intensit&eacute; lumineuse d&eacute;pend de la couleur.|19. Concernant la trivariance visuelle, indiquez la ou les proposition(s) exacte(s) :|UE3T130319|FAUX|E. Faux, l'intensit&eacute; est ind&eacute;pendante de la couleur, elle d&eacute;finit seulement la brillance de la source.||||||
A. La vision diurne correspond &agrave; la vision de nuit (scotopique).|20. Concernant l'effet purkinje, indiquez la ou les proposition(s) exacte(s) :|UE3T130320|FAUX|A. Faux, la vision diurne est la vision de jour (photonique).||||||
B. La vision diurne a une sensibilit&eacute; maximale au jaune-vert, soit vers 700nm.|20. Concernant l'effet purkinje, indiquez la ou les proposition(s) exacte(s) :|UE3T130320|FAUX|B. Faux, la vision diurne est bien plus sensible au jaune-vert mais cela correspond &agrave; 555nm.||||||
C. La vision diurne est une vision trivariante.|20. Concernant l'effet purkinje, indiquez la ou les proposition(s) exacte(s) :|UE3T130320|VRAI|||||||
D. La vision nocturne permet de voir les couleurs.|20. Concernant l'effet purkinje, indiquez la ou les proposition(s) exacte(s) :|UE3T130320|FAUX|D. Faux, la vision nocturne est univariante: elle ne permet que de voir l'intensit&eacute;.||||||
E. La vision cr&eacute;pusculaire a une sensation color&eacute;e peu pr&eacute;cise.|20. Concernant l'effet purkinje, indiquez la ou les proposition(s) exacte(s) :|UE3T130320|VRAI|||||||
A. Les c&ocirc;nes et les bâtonnets ont des comportements ind&eacute;pendants.|21. Concernant les travaux de Hecht, indiquez la ou les proposition(s) exacte(s) :|UE3T130321|VRAI|||||||
B. Le seuil absolu varie en fonction de temps pass&eacute; dans l'obscurit&eacute;: plus on reste dans l'obscurit&eacute;, plus le seuil absolu diminue.|21. Concernant les travaux de Hecht, indiquez la ou les proposition(s) exacte(s) :|UE3T130321|VRAI|||||||
C. L'adaptation des c&ocirc;nes est rapide et compl&egrave;te.|21. Concernant les travaux de Hecht, indiquez la ou les proposition(s) exacte(s) :|UE3T130321|FAUX|C. Faux, cette adaptation est rapide et incompl&egrave;te: elle n'augmentera plus apr&egrave;s 10min et poss&egrave;de une valeur seuil.||||||
D. L'adaptation aux bâtonnets est lente et compl&egrave;te: elle permet de percevoir des luminances faibles.|21. Concernant les travaux de Hecht, indiquez la ou les proposition(s) exacte(s) :|UE3T130321|VRAI|||||||
E. Les bâtonnets sont sensibles &agrave; la couleur.|21. Concernant les travaux de Hecht, indiquez la ou les proposition(s) exacte(s) :|UE3T130321|FAUX|E. Faux, ce sont les c&ocirc;nes qui sont sensibles &agrave; la couleur, les bâtonnets per&ccedil;oivent les contrastes de luminosit&eacute;.||||||
A. Les dyschromatopsies sont li&eacute;es &agrave; des probl&egrave;mes aux c&ocirc;nes.|22. Concernant les troubles de la vision, indiquez la ou les proposition(s) exacte(s) :|UE3T130322|VRAI|A. Vrai, ces troubles sont des troubles de la vision des couleurs donc concernent les c&ocirc;nes.||||||
B. Les monochromatopsies correspondent &agrave; l'absence des bâtonnets, le patient n'a donc plus de vision scotopique.|22. Concernant les troubles de la vision, indiquez la ou les proposition(s) exacte(s) :|UE3T130322|FAUX|B. Faux, ce sont les c&ocirc;nes qui sont absents ou non fonctionnels, la vision est donc uniquement due aux bâtonnets et l'acuit&eacute; visuelle s'en retouve diminu&eacute;e.||||||
C. Les dichromatopsies sont dues &agrave; l'absence d'un des 3 pigments.|22. Concernant les troubles de la vision, indiquez la ou les proposition(s) exacte(s) :|UE3T130322|VRAI|||||||
D. Ces pigments sont l'&eacute;rythrolabe (rouge), le chlorolabe (bleu) et le cyanolabe (vert).|22. Concernant les troubles de la vision, indiquez la ou les proposition(s) exacte(s) :|UE3T130322|FAUX|D. Faux, le chlorolabe est le pigment vert et le cyanolable le pigment bleu.||||||
E. La protanopie est &eacute;galement appel&eacute;e daltonisme, caract&eacute;ris&eacute;e par l'absence d'&eacute;rythrolabe.|22. Concernant les troubles de la vision, indiquez la ou les proposition(s) exacte(s) :|UE3T130322|VRAI|E. Vrai, le patient est donc aveugle au rouge.||||||
A. Dans la zone A, les nucl&eacute;ides sont essentiellement des &eacute;metteurs β + .|23. Concernant les diff&eacute;rentes &eacute;missions radioactives, indiquez la (ou les) proposition(s) exacte(s) : Sur le graphique suivant, un ensemble de nucl&eacute;ides ont &eacute;t&eacute; plac&eacute;s en fonction de leur num&eacute;ro atomique Z (en abscisse) et de leur nombre de neutron N (en ordonn&eacute;e) :|UE3T130323|FAUX|A. Faux, dans la zone A, les noyaux sont lourds. Pour perdre de la masse, ils ont tendance &agrave; &eacute;mettre des particules α.|"<img src=""UE3T1303s1.jpg"" />"|||||
B. Dans la zone B, les nucl&eacute;ides ont un exc&egrave;s de neutrons.|23. Concernant les diff&eacute;rentes &eacute;missions radioactives, indiquez la (ou les) proposition(s) exacte(s) : Sur le graphique suivant, un ensemble de nucl&eacute;ides ont &eacute;t&eacute; plac&eacute;s en fonction de leur num&eacute;ro atomique Z (en abscisse) et de leur nombre de neutron N (en ordonn&eacute;e) :|UE3T130323|VRAI|B. Vrai, on trouve dans la zone B, les &eacute;metteurs β - . Un neutron est en effet converti en proton et un &eacute;lectron est &eacute;mis pour conserver la charge|"<img src=""UE3T1303s1.jpg"" />"|||||
